symbol,timestamp_utc,open,high,low,close,volume,source,timeframe
QQQ,1999-03-10T00:00:00+00:00,43.3466,43.3734,42.6342,43.2932,12341014,stooq,1d
QQQ,1999-03-11T00:00:00+00:00,43.6069,43.8567,42.6525,43.4977,22856485,stooq,1d
QQQ,1999-03-12T00:00:00+00:00,43.3457,43.3724,42.1014,42.4471,20624340,stooq,1d
QQQ,1999-03-15T00:00:00+00:00,42.7595,43.7109,42.3081,43.6631,15025284,stooq,1d
QQQ,1999-03-16T00:00:00+00:00,43.8498,44.22,43.3724,44.0379,11571731,stooq,1d
QQQ,1999-03-17T00:00:00+00:00,44.034,44.0889,43.5828,43.7139,9353358,stooq,1d
QQQ,1999-03-18T00:00:00+00:00,43.6658,44.592,43.6542,44.5647,11437095,stooq,1d
QQQ,1999-03-19T00:00:00+00:00,45.15,45.15,43.3975,43.4281,16890299,stooq,1d
QQQ,1999-03-22T00:00:00+00:00,43.6049,43.7099,42.8094,42.8898,11854402,stooq,1d
QQQ,1999-03-23T00:00:00+00:00,42.6555,42.8123,41.3066,41.3851,25859941,stooq,1d
QQQ,1999-03-24T00:00:00+00:00,41.7609,42.8163,41.1225,42.7917,19924389,stooq,1d
QQQ,1999-03-25T00:00:00+00:00,43.4508,44.3473,43.1677,44.3473,19188203,stooq,1d
QQQ,1999-03-26T00:00:00+00:00,43.981,44.4835,43.6894,43.8725,19476352,stooq,1d
QQQ,1999-03-29T00:00:00+00:00,44.4041,45.4905,44.1388,45.4663,12063370,stooq,1d
QQQ,1999-03-30T00:00:00+00:00,45.4092,45.7804,44.9541,45.1441,11655731,stooq,1d
QQQ,1999-03-31T00:00:00+00:00,45.8872,45.9359,44.3453,44.4805,19478627,stooq,1d
QQQ,1999-04-01T00:00:00+00:00,45.7852,45.8372,44.6693,45.4152,20559741,stooq,1d
QQQ,1999-04-05T00:00:00+00:00,46.1475,47.1234,45.8656,47.0561,13439528,stooq,1d
QQQ,1999-04-06T00:00:00+00:00,46.9952,47.661,46.6017,47.146,17746607,stooq,1d
QQQ,1999-04-07T00:00:00+00:00,47.5815,47.6863,45.6453,46.6537,28129515,stooq,1d
QQQ,1999-04-08T00:00:00+00:00,46.5735,47.2537,45.6179,47.0285,18760023,stooq,1d
QQQ,1999-04-09T00:00:00+00:00,46.9433,47.4183,46.8112,47.3124,11670292,stooq,1d
QQQ,1999-04-12T00:00:00+00:00,46.2062,47.3184,46.1524,47.0,25792156,stooq,1d
QQQ,1999-04-13T00:00:00+00:00,47.2935,47.3996,45.9948,46.3679,23498914,stooq,1d
QQQ,1999-04-14T00:00:00+00:00,46.9512,47.001,44.5235,44.7798,50133780,stooq,1d
QQQ,1999-04-15T00:00:00+00:00,44.9308,45.4593,43.3428,45.3877,41637333,stooq,1d
QQQ,1999-04-16T00:00:00+00:00,45.2762,45.2762,43.8186,44.0644,40748337,stooq,1d
QQQ,1999-04-19T00:00:00+00:00,44.3463,44.7203,41.5476,41.9901,45910253,stooq,1d
QQQ,1999-04-20T00:00:00+00:00,41.8051,43.2892,41.4123,42.9446,41079186,stooq,1d
QQQ,1999-04-21T00:00:00+00:00,43.3389,45.0884,42.7585,45.0608,25810208,stooq,1d
QQQ,1999-04-22T00:00:00+00:00,45.4895,46.4176,45.1899,46.2895,32154802,stooq,1d
QQQ,1999-04-23T00:00:00+00:00,46.0428,47.2428,45.57,46.8925,16664606,stooq,1d
QQQ,1999-04-26T00:00:00+00:00,47.2106,48.3265,47.0638,47.9763,12787952,stooq,1d
QQQ,1999-04-27T00:00:00+00:00,48.3275,48.5654,46.6419,47.2438,38881582,stooq,1d
QQQ,1999-04-28T00:00:00+00:00,46.8465,47.002,45.4242,45.6229,18107883,stooq,1d
QQQ,1999-04-29T00:00:00+00:00,45.4102,45.6708,44.2962,45.2479,45172700,stooq,1d
QQQ,1999-04-30T00:00:00+00:00,45.8909,46.127,43.9253,45.5453,36081244,stooq,1d
QQQ,1999-05-03T00:00:00+00:00,45.4132,45.5934,44.546,45.3029,26207659,stooq,1d
QQQ,1999-05-04T00:00:00+00:00,45.3858,46.0984,44.3218,44.59,36397048,stooq,1d
QQQ,1999-05-05T00:00:00+00:00,44.6154,45.9379,43.2625,45.9379,29824579,stooq,1d
QQQ,1999-05-06T00:00:00+00:00,45.5199,45.9195,43.8488,44.275,35791201,stooq,1d
QQQ,1999-05-07T00:00:00+00:00,44.6693,45.0412,43.7149,44.9101,38757722,stooq,1d
QQQ,1999-05-10T00:00:00+00:00,45.1937,45.6599,44.6664,45.3605,25015798,stooq,1d
QQQ,1999-05-11T00:00:00+00:00,45.7226,46.3118,45.4643,46.0702,20762317,stooq,1d
QQQ,1999-05-12T00:00:00+00:00,46.2895,47.1861,44.9298,47.0285,29505448,stooq,1d
QQQ,1999-05-13T00:00:00+00:00,47.3966,47.4799,45.9409,46.1515,23268490,stooq,1d
QQQ,1999-05-14T00:00:00+00:00,45.2489,45.7834,44.9298,45.2742,28793004,stooq,1d
QQQ,1999-05-17T00:00:00+00:00,44.878,46.2297,44.4354,46.0887,23371062,stooq,1d
QQQ,1999-05-18T00:00:00+00:00,46.0478,46.3178,45.3675,45.8959,21860289,stooq,1d
QQQ,1999-05-19T00:00:00+00:00,46.0772,46.5508,45.3655,46.5253,18836626,stooq,1d
QQQ,1999-05-20T00:00:00+00:00,46.6193,46.6193,45.1687,45.2381,14148193,stooq,1d
QQQ,1999-05-21T00:00:00+00:00,45.3897,45.518,44.5929,44.8307,25850184,stooq,1d
